EMP_ID,EMP_NAME,MONTHY_SALARY,UNI_FLAG
1,Abby,12000,1
2,Mona,14000,2
3,Sanju,16000,2
4,Sanjana,45000,2
5,Aditya,12000,2
6,Barak,19000,1
7,Cathy,7500,1
8,Den,13500,1
9,Fano,8000,2
10,Gita,12000,2
11,Hema,10000,1
12,Ishneet,12500,1
13,Jack,18000,1
14,Kunal,17000,2
15,Lary,13500,1
16,Meesha,16700,2
17,Neesha ,13400,2
18,Oripha,27000,1
19,Pireska,21300,1
20,Qatar,17500,1
21,Rashi,15500,123
22,Shasha,13500,2
23,Tail,145067890,1
24,Urvashi,17800,2
25,Vani,125000,1
26,Washingon,190000,2
27,Xix,12345,2
28,Yuzir,16000,4
